movieCd,movieNm,openDt,salesAmt,audiCnt,load_dt,multiMovieYn,repNationCd
20162545,"무현, 두 도시 이야기",2016-10-26,410000,60,20170101,unknown,K
20162025,씽,2016-12-21,943975500,115152,20170101,N,F
20161701,위켄즈,2016-12-22,765700,93,20170101,unknown,K
20154661,형,2016-11-23,944000,123,20170101,unknown,K
20167904,라라랜드,2016-12-07,770889600,87529,20170101,N,F
20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,28628400,3552,20170101,N,F
20080975,원스 어폰 어 타임 인 아메리카,1984-12-10,895000,445,20170101,Y,unknown
20164527,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,186000,21,20170101,unknown,K
20165543,하이큐!! 승자와 패자,2016-12-28,14782500,1919,20170101,unknown,F
19930396,시애틀의 잠 못이루는 밤,1993-12-18,10612900,1227,20170101,Y,unknown
20163183,로그 원: 스타워즈 스토리,2016-12-28,1612424700,173451,20170101,N,F
20161763,"나, 다니엘 블레이크",2016-12-08,18037800,2085,20170101,Y,F
20161603,순종,2016-11-17,447000,73,20170101,unknown,K
20161872,너의 이름은.,2017-01-04,325811500,37418,20170101,N,F
20152371,"당신, 거기 있어줄래요",2016-12-14,166222000,18630,20170101,N,K
19890291,해리가 샐리를 만났을 때,1989-11-18,16580900,1885,20170101,Y,F
19920315,블루 벨벳,1992-10-17,4426500,514,20170101,Y,unknown
20128588,"그 시절, 우리가 좋아했던 소녀",2012-08-22,2356500,296,20170101,Y,unknown
20144641,판도라,2016-12-07,736891900,87966,20170101,N,K
20162727,루돌프와 많이있어,2016-12-28,243890000,29910,20170101,N,F
20159286,연애담,2016-11-17,315000,38,20170101,unknown,K
20164526,"나의 위대한 친구, 세잔",2016-12-15,3647000,486,20170101,Y,unknown
20153401,파파좀비,2016-12-29,109000,18,20170101,unknown,K
20161725,마스터,2016-12-21,4399793100,506299,20170101,N,K
